"","MURI","MURI_num","L","SA","short_R1","short_R2"
"157","MURI_117 ",117,"L003","SA14140","MURI_117_SA14140_ATGTCA_L003_R1_001.fastq.gz","MURI_117_SA14140_ATGTCA_L003_R2_001.fastq.gz"
"158","MURI_118 ",118,"L003","SA14140","MURI_118_SA14140_CCGTCC_L003_R1_001.fastq.gz","MURI_118_SA14140_CCGTCC_L003_R2_001.fastq.gz"
"159","MURI_119 ",119,"L003","SA14140","MURI_119_SA14140_GTCCGC_L003_R1_001.fastq.gz","MURI_119_SA14140_GTCCGC_L003_R2_001.fastq.gz"
"160","MURI_120 ",120,"L003","SA14140","MURI_120_SA14140_GTGGCC_L003_R1_001.fastq.gz","MURI_120_SA14140_GTGGCC_L003_R2_001.fastq.gz"
"161","MURI_121 ",121,"L003","SA14140","MURI_121_SA14140_GTTTCG_L003_R1_001.fastq.gz","MURI_121_SA14140_GTTTCG_L003_R2_001.fastq.gz"
"162","MURI_122 ",122,"L003","SA14140","MURI_122_SA14140_ACTGAT_L003_R1_001.fastq.gz","MURI_122_SA14140_ACTGAT_L003_R2_001.fastq.gz"
"163","MURI_123 ",123,"L003","SA14140","MURI_123_SA14140_ATTCCT_L003_R1_001.fastq.gz","MURI_123_SA14140_ATTCCT_L003_R2_001.fastq.gz"
"164","MURI_124 ",124,"L001","SA15008","MURI_124_SA15008_ATCACG_L001_R1_001.fastq.gz","MURI_124_SA15008_ATCACG_L001_R2_001.fastq.gz"
"165","MURI_124 ",124,"L006","SA14200","MURI_124_SA14200_ATCACG_L006_R1_001.fastq.gz","MURI_124_SA14200_ATCACG_L006_R2_001.fastq.gz"
"166","MURI_125 ",125,"L004","SA14141","MURI_125_SA14141_TTAGGC_L004_R1_001.fastq.gz","MURI_125_SA14141_TTAGGC_L004_R2_001.fastq.gz"
"167","MURI_126 ",126,"L003","SA15008","MURI_126_SA15008_TGACCA_L003_R1_001.fastq.gz","MURI_126_SA15008_TGACCA_L003_R2_001.fastq.gz"
"168","MURI_126 ",126,"L004","SA14141","MURI_126_SA14141_TGACCA_L004_R1_001.fastq.gz","MURI_126_SA14141_TGACCA_L004_R2_001.fastq.gz"
"169","MURI_127 ",127,"L003","SA14140","MURI_127_SA14140_ACAGTG_L003_R1_001.fastq.gz","MURI_127_SA14140_ACAGTG_L003_R2_001.fastq.gz"
"170","MURI_128 ",128,"L003","SA14140","MURI_128_SA14140_GCCAAT_L003_R1_001.fastq.gz","MURI_128_SA14140_GCCAAT_L003_R2_001.fastq.gz"
"171","MURI_129 ",129,"L003","SA14140","MURI_129_SA14140_CAGATC_L003_R1_001.fastq.gz","MURI_129_SA14140_CAGATC_L003_R2_001.fastq.gz"
"172","MURI_130 ",130,"L003","SA14140","MURI_130_SA14140_ACTTGA_L003_R1_001.fastq.gz","MURI_130_SA14140_ACTTGA_L003_R2_001.fastq.gz"
"173","MURI_130 ",130,"L004","SA15156","MURI_130_SA15156_CGATGT_L004_R1_001.fastq.gz","MURI_130_SA15156_CGATGT_L004_R2_001.fastq.gz"
