"","MURI","R1_L1","R1_L2","R1_L3","R1_L4","R1_L5","R1_L6","R2_L1","R2_L2","R2_L3","R2_L4","R2_L5","R2_L6","MURI_num"
"88","MURI_107 ","MURI_107_SA14140_ACAGTG_L001_R1_001.fastq",,,,,,"MURI_107_SA14140_ACAGTG_L001_R2_001.fastq",,,,,,107
"89","MURI_108 ","MURI_108_SA14140_GCCAAT_L001_R1_001.fastq",,,,,,"MURI_108_SA14140_GCCAAT_L001_R2_001.fastq",,,,,,108
"90","MURI_109 ","MURI_109_SA14140_CAGATC_L001_R1_001.fastq",,,,,,"MURI_109_SA14140_CAGATC_L001_R2_001.fastq",,,,,,109
"91","MURI_110 ","MURI_110_SA14140_ACTTGA_L001_R1_001.fastq",,,,,,"MURI_110_SA14140_ACTTGA_L001_R2_001.fastq",,,,,,110
"92","MURI_111 ","MURI_111_SA14140_GATCAG_L001_R1_001.fastq",,,,,,"MURI_111_SA14140_GATCAG_L001_R2_001.fastq",,,,,,111
"93","MURI_112 ","MURI_112_SA14140_TAGCTT_L001_R1_001.fastq",,,,,,"MURI_112_SA14140_TAGCTT_L001_R2_001.fastq",,,,,,112
"94","MURI_113 ","MURI_113_SA14140_GGCTAC_L001_R1_001.fastq",,,,,,"MURI_113_SA14140_GGCTAC_L001_R2_001.fastq",,,,,,113
"95","MURI_114 ","MURI_114_SA14140_CTTGTA_L003_R1_001.fastq","MURI_114_SA15008_CTTGTA_L001_R1_001.fastq",,,,,"MURI_114_SA14140_CTTGTA_L003_R2_001.fastq","MURI_114_SA15008_CTTGTA_L001_R2_001.fastq",,,,,114
"96","MURI_115 ","MURI_115_SA14140_AGTCAA_L003_R1_001.fastq",,,,,,"MURI_115_SA14140_AGTCAA_L003_R2_001.fastq",,,,,,115
"97","MURI_116 ","MURI_116_SA14140_AGTTCC_L003_R1_001.fastq",,,,,,"MURI_116_SA14140_AGTTCC_L003_R2_001.fastq",,,,,,116
"98","MURI_117 ","MURI_117_SA14140_ATGTCA_L003_R1_001.fastq",,,,,,"MURI_117_SA14140_ATGTCA_L003_R2_001.fastq",,,,,,117
"99","MURI_118 ","MURI_118_SA14140_CCGTCC_L003_R1_001.fastq",,,,,,"MURI_118_SA14140_CCGTCC_L003_R2_001.fastq",,,,,,118
"100","MURI_119 ","MURI_119_SA14140_GTCCGC_L003_R1_001.fastq",,,,,,"MURI_119_SA14140_GTCCGC_L003_R2_001.fastq",,,,,,119
"101","MURI_120 ","MURI_120_SA14140_GTGGCC_L003_R1_001.fastq",,,,,,"MURI_120_SA14140_GTGGCC_L003_R2_001.fastq",,,,,,120
"102","MURI_121 ","MURI_121_SA14140_GTTTCG_L003_R1_001.fastq",,,,,,"MURI_121_SA14140_GTTTCG_L003_R2_001.fastq",,,,,,121
"103","MURI_122 ","MURI_122_SA14140_ACTGAT_L003_R1_001.fastq",,,,,,"MURI_122_SA14140_ACTGAT_L003_R2_001.fastq",,,,,,122
"104","MURI_123 ","MURI_123_SA14140_ATTCCT_L003_R1_001.fastq",,,,,,"MURI_123_SA14140_ATTCCT_L003_R2_001.fastq",,,,,,123
"105","MURI_124 ","MURI_124_SA14200_ATCACG_L006_R1_001.fastq","MURI_124_SA15008_ATCACG_L001_R1_001.fastq",,,,,"MURI_124_SA14200_ATCACG_L006_R2_001.fastq","MURI_124_SA15008_ATCACG_L001_R2_001.fastq",,,,,124
"106","MURI_125 ","MURI_125_SA14141_TTAGGC_L004_R1_001.fastq",,,,,,"MURI_125_SA14141_TTAGGC_L004_R2_001.fastq",,,,,,125
"107","MURI_126 ","MURI_126_SA14141_TGACCA_L004_R1_001.fastq","MURI_126_SA15008_TGACCA_L003_R1_001.fastq",,,,,"MURI_126_SA14141_TGACCA_L004_R2_001.fastq","MURI_126_SA15008_TGACCA_L003_R2_001.fastq",,,,,126
"108","MURI_127 ","MURI_127_SA14140_ACAGTG_L003_R1_001.fastq",,,,,,"MURI_127_SA14140_ACAGTG_L003_R2_001.fastq",,,,,,127
"109","MURI_128 ","MURI_128_SA14140_GCCAAT_L003_R1_001.fastq",,,,,,"MURI_128_SA14140_GCCAAT_L003_R2_001.fastq",,,,,,128
"110","MURI_129 ","MURI_129_SA14140_CAGATC_L003_R1_001.fastq",,,,,,"MURI_129_SA14140_CAGATC_L003_R2_001.fastq",,,,,,129
"111","MURI_130 ","MURI_130_SA14140_ACTTGA_L003_R1_001.fastq","MURI_130_SA15156_CGATGT_L004_R1_001.fastq",,,,,"MURI_130_SA14140_ACTTGA_L003_R2_001.fastq","MURI_130_SA15156_CGATGT_L004_R2_001.fastq",,,,,130
"112","MURI_131 ","MURI_131_SA14140_GATCAG_L003_R1_001.fastq",,,,,,"MURI_131_SA14140_GATCAG_L003_R2_001.fastq",,,,,,131
"113","MURI_132 ","MURI_132_SA14140_TAGCTT_L003_R1_001.fastq",,,,,,"MURI_132_SA14140_TAGCTT_L003_R2_001.fastq",,,,,,132
"114","MURI_133 ","MURI_133_SA14140_GGCTAC_L003_R1_001.fastq",,,,,,"MURI_133_SA14140_GGCTAC_L003_R2_001.fastq",,,,,,133
"115","MURI_134 ","MURI_134_SA14141_CTTGTA_L003_R1_001.fastq","MURI_134_SA15156_TTAGGC_L004_R1_001.fastq",,,,,"MURI_134_SA14141_CTTGTA_L003_R2_001.fastq","MURI_134_SA15156_TTAGGC_L004_R2_001.fastq",,,,,134
"116","MURI_135 ","MURI_135_SA14217_ATCACG_L003_R1_001.fastq","MURI_135_SA14217_ATCACG_L004_R1_001.fastq",,,,,"MURI_135_SA14217_ATCACG_L003_R2_001.fastq","MURI_135_SA14217_ATCACG_L004_R2_001.fastq",,,,,135
"117","MURI_136 ","MURI_136_SA14141_CAGATC_L003_R1_001.fastq",,,,,,"MURI_136_SA14141_CAGATC_L003_R2_001.fastq",,,,,,136
