"","Phase","Salt","Conc","Branch","MeanFluxRatio","SDEFluxRatio","Phase2"
"142","STA","MGSO4",0.08,"PYR from MAL_UB",1e-05,0,"Stationary"
"143","STA","MGSO4",0.08,"SER from GLY",0.207777777777778,0.108343304384435,"Stationary"
"144","STA","MGSO4",0.8,"E4P from P5P",1,0,"Stationary"
"145","STA","MGSO4",0.8,"E4P through TK",0.427777777777778,0.0488888888888889,"Stationary"
"146","STA","MGSO4",0.8,"GLY from SER",0.996666666666667,0.00192450089729877,"Stationary"
"147","STA","MGSO4",0.8,"Labeled CO2 EC",0.0855555555555556,0.0149484711634152,"Stationary"
"148","STA","MGSO4",0.8,"OAA from PEP",0.39,0.0200923792444724,"Stationary"
"149","STA","MGSO4",0.8,"P5P from E4P",1e-05,0,"Stationary"
"150","STA","MGSO4",0.8,"P5P from G3P",0.121111111111111,0.0308120547196934,"Stationary"
"151","STA","MGSO4",0.8,"P5P from G6P",0.985555555555556,0.0144444444444444,"Stationary"
"152","STA","MGSO4",0.8,"PEP from OAA",0.0977777777777778,0.0462013841917595,"Stationary"
"153","STA","MGSO4",0.8,"PEP through TK",0.07,0.0117062819476142,"Stationary"
"154","STA","MGSO4",0.8,"PYR from MAL_LB",0.00222888888888889,0.00221888888888889,"Stationary"
"155","STA","MGSO4",0.8,"PYR from MAL_UB",0.00222888888888889,0.00221888888888889,"Stationary"
"156","STA","MGSO4",0.8,"SER from GLY",0.223333333333333,0.0685025006302149,"Stationary"
"157","STA","MGSO4",200,"E4P from P5P",0.801111111111111,0.198888888888889,"Stationary"
"158","STA","MGSO4",200,"E4P through TK",0.444444444444444,0.13369857382177,"Stationary"
"159","STA","MGSO4",200,"GLY from SER",0.625555555555556,0.189583689458355,"Stationary"
"160","STA","MGSO4",200,"Labeled CO2 EC",0.0911177777777778,0.0911077777777778,"Stationary"
"161","STA","MGSO4",200,"OAA from PEP",0.431114444444444,0.296778663855327,"Stationary"
"162","STA","MGSO4",200,"P5P from E4P",0.0744511111111111,0.0744411111111111,"Stationary"
"163","STA","MGSO4",200,"P5P from G3P",0.364444444444444,0.317801086946218,"Stationary"
"164","STA","MGSO4",200,"P5P from G6P",0.66667,0.33333,"Stationary"
"165","STA","MGSO4",200,"PEP from OAA",0.158888888888889,0.0550196373472887,"Stationary"
"166","STA","MGSO4",200,"PEP through TK",0.0822222222222222,0.00675862503366469,"Stationary"
"167","STA","MGSO4",200,"PYR from MAL_LB",0.145562222222222,0.145552222222222,"Stationary"
"168","STA","MGSO4",200,"PYR from MAL_UB",1e-05,0,"Stationary"
