"","genes","dataType","growthPhase","test_for","exist_in"
"3060","gshB","protein","Sta","Lac","controlled for Growth"
"3061","ihfB","protein","Sta","Lac","controlled for Growth"
"3062","flgM","protein","Sta","Lac","controlled for Growth"
"3063","ppiB","protein","Sta","Lac","controlled for Growth"
"3064","acrA","protein","Sta","Lac","controlled for Growth"
"3065","nrdA","protein","Sta","Lac","controlled for Growth"
"3066","valS","protein","Sta","Lac","controlled for Growth"
"3067","rpmB","protein","Sta","Lac","controlled for Growth"
"3068","cysI","protein","Sta","Lac","controlled for Growth"
"3069","nfnB","protein","Sta","Lac","controlled for Growth"
"3070","infB","protein","Sta","Lac","controlled for Growth"
"3071","usg","protein","Sta","Lac","controlled for Growth"
"3072","rpmG","protein","Sta","Lac","controlled for Growth"
"3073","purL","protein","Sta","Lac","controlled for Growth"
"3074","yniC","protein","Sta","Lac","controlled for Growth"
"3075","yiaF","protein","Sta","Lac","controlled for Growth"
"3076","rplN","protein","Sta","Lac","controlled for Growth"
"3077","murA","protein","Sta","Lac","controlled for Growth"
"3078","glyQ","protein","Sta","Lac","controlled for Growth"
"3079","dnaK","protein","Sta","Lac","controlled for Growth"
"3080","fusA","protein","Sta","Lac","controlled for Growth"
"3081","pheT","protein","Sta","Lac","controlled for Growth"
"3082","emrR","protein","Sta","Lac","controlled for Growth"
"3083","glmS","protein","Sta","Lac","controlled for Growth"
"3084","apt","protein","Sta","Lac","controlled for Growth"
"3085","psd","protein","Sta","Lac","controlled for Growth"
"3086","hflK","protein","Sta","Lac","controlled for Growth"
"3087","aroH","protein","Sta","Lac","controlled for Growth"
"3088","yaeT","protein","Sta","Lac","controlled for Growth"
"3089","rplV","protein","Sta","Lac","controlled for Growth"
"3090","rplB","protein","Sta","Lac","controlled for Growth"
"3091","rpsT","protein","Sta","Lac","controlled for Growth"
"3092","flgN","protein","Sta","Lac","controlled for Growth"
"3093","cysM","protein","Sta","Lac","controlled for Growth"
"3094","nusG","protein","Sta","Lac","controlled for Growth"
"3095","hisB","protein","Sta","Lac","controlled for Growth"
"3096","dcrB","protein","Sta","Lac","controlled for Growth"
"3097","nagE","protein","Sta","Lac","controlled for Growth"
"3098","ycfM","protein","Sta","Lac","controlled for Growth"
"3099","mogA","protein","Sta","Lac","controlled for Growth"
"3100","ftsZ","protein","Sta","Lac","controlled for Growth"
"3101","aceA","protein","Sta","Lac","controlled for Growth"
"3102","argB","protein","Sta","Lac","controlled for Growth"
"3103","ycbX","protein","Sta","Lac","controlled for Growth"
"3104","rpoC","protein","Sta","Lac","controlled for Growth"
"3105","yfiA","protein","Sta","Lac","controlled for Growth"
"3106","ynhG","protein","Sta","Lac","controlled for Growth"
"3107","wzzB","protein","Sta","Lac","controlled for Growth"
"3108","ybhE","protein","Sta","Lac","controlled for Growth"
"3109","yliJ","protein","Sta","Lac","controlled for Growth"
"3110","hisG","protein","Sta","Lac","controlled for Growth"
"3111","oppA","protein","Sta","Lac","controlled for Growth"
"3112","pgk","protein","Sta","Lac","controlled for Growth"
"3113","hupB","protein","Sta","Lac","controlled for Growth"
"3114","yebY","protein","Sta","Lac","controlled for Growth"
"3115","pfkA","protein","Sta","Lac","controlled for Growth"
"3116","ymdB","protein","Sta","Lac","controlled for Growth"
"3117","srmB","protein","Sta","Lac","controlled for Growth"
"3118","pfs","protein","Sta","Lac","controlled for Growth"
"3119","dppA","protein","Sta","Lac","controlled for Growth"
"3120","leuC","protein","Sta","Lac","controlled for Growth"
"3121","cysE","protein","Sta","Lac","controlled for Growth"
"3122","btuB","protein","Sta","Lac","controlled for Growth"
"3123","yciO","protein","Sta","Lac","controlled for Growth"
"3124","ybaB","protein","Sta","Lac","controlled for Growth"
"3125","yecJ","protein","Sta","Lac","controlled for Growth"
"3126","pflB","protein","Sta","Lac","controlled for Growth"
"3127","fabH","protein","Sta","Lac","controlled for Growth"
"3128","fabB","protein","Sta","Lac","controlled for Growth"
"3129","asnC","protein","Sta","Lac","controlled for Growth"
"3130","yggS","protein","Sta","Lac","controlled for Growth"
"3131","msyB","protein","Sta","Lac","controlled for Growth"
"3132","purE","protein","Sta","Lac","controlled for Growth"
"3133","hisC","protein","Sta","Lac","controlled for Growth"
"3134","ybaK","protein","Sta","Lac","controlled for Growth"
"3135","fldA","protein","Sta","Lac","controlled for Growth"
"3136","solA","protein","Sta","Lac","controlled for Growth"
"3137","yeeI","protein","Sta","Lac","controlled for Growth"
"3138","rplO","protein","Sta","Lac","controlled for Growth"
"3139","leuS","protein","Sta","Lac","controlled for Growth"
"3140","thrC","protein","Sta","Lac","controlled for Growth"
"3141","rpoZ","protein","Sta","Lac","controlled for Growth"
"3142","nudE","protein","Sta","Lac","controlled for Growth"
"3143","purF","protein","Sta","Lac","controlled for Growth"
"3144","ahpC","protein","Sta","Lac","controlled for Growth"
"3145","proV","protein","Sta","Lac","controlled for Growth"
"3146","aroA","protein","Sta","Lac","controlled for Growth"
"3147","rplR","protein","Sta","Lac","controlled for Growth"
"3148","ansA","protein","Sta","Lac","controlled for Growth"
"3149","queF","protein","Sta","Lac","controlled for Growth"
"3150","yfiF","protein","Sta","Lac","controlled for Growth"
"3151","hemX","protein","Sta","Lac","controlled for Growth"
"3152","ybiB","protein","Sta","Lac","controlled for Growth"
"3153","deoC","protein","Sta","Lac","controlled for Growth"
"3154","nusA","protein","Sta","Lac","controlled for Growth"
"3155","rplJ","protein","Sta","Lac","controlled for Growth"
"3156","ybdQ","protein","Sta","Lac","controlled for Growth"
"3157","yhjJ","protein","Sta","Lac","controlled for Growth"
"3158","ppiD","protein","Sta","Lac","controlled for Growth"
"3159","flgK","protein","Sta","Lac","controlled for Growth"
"3160","gst","protein","Sta","Lac","controlled for Growth"
"3161","flgL","protein","Sta","Lac","controlled for Growth"
"3162","trpD","protein","Sta","Lac","controlled for Growth"
"3163","metG","protein","Sta","Lac","controlled for Growth"
"3164","ilvE","protein","Sta","Lac","controlled for Growth"
"3165","lysA","protein","Sta","Lac","controlled for Growth"
"3166","prsA","protein","Sta","Lac","controlled for Growth"
"3167","ygaG","protein","Sta","Lac","controlled for Growth"
"3168","proQ","protein","Sta","Lac","controlled for Growth"
"3169","nuoF","protein","Sta","Lac","controlled for Growth"
"3170","greA","protein","Sta","Lac","controlled for Growth"
"3171","rpoB","protein","Sta","Lac","controlled for Growth"
"3172","yejK","protein","Sta","Lac","controlled for Growth"
"3173","serS","protein","Sta","Lac","controlled for Growth"
"3174","nlpB","protein","Sta","Lac","controlled for Growth"
"3175","ydcS","protein","Sta","Lac","controlled for Growth"
"3176","argI","protein","Sta","Lac","controlled for Growth"
"3177","hemL","protein","Sta","Lac","controlled for Growth"
"3178","tolR","protein","Sta","Lac","controlled for Growth"
"3179","nagB","protein","Sta","Lac","controlled for Growth"
"3180","ycdY","protein","Sta","Lac","controlled for Growth"
"3181","rseB","protein","Sta","Lac","controlled for Growth"
"3182","glcG","protein","Sta","Lac","controlled for Growth"
"3183","rpmC","protein","Sta","Lac","controlled for Growth"
"3184","ygfE","protein","Sta","Lac","controlled for Growth"
"3185","phnB","protein","Sta","Lac","controlled for Growth"
"3186","fmt","protein","Sta","Lac","controlled for Growth"
"3187","zipA","protein","Sta","Lac","controlled for Growth"
"3188","minC","protein","Sta","Lac","controlled for Growth"
"3189","yeeX","protein","Sta","Lac","controlled for Growth"
"3190","speA","protein","Sta","Lac","controlled for Growth"
"3191","xseB","protein","Sta","Lac","controlled for Growth"
"3192","tas","protein","Sta","Lac","controlled for Growth"
"3193","artI","protein","Sta","Lac","controlled for Growth"
"3194","thyA","protein","Sta","Lac","controlled for Growth"
"3195","glmU","protein","Sta","Lac","controlled for Growth"
"3196","rpsR","protein","Sta","Lac","controlled for Growth"
"3197","vacJ","protein","Sta","Lac","controlled for Growth"
"3198","pepA","protein","Sta","Lac","controlled for Growth"
"3199","yfgM","protein","Sta","Lac","controlled for Growth"
"3200","hsdM","protein","Sta","Lac","controlled for Growth"
"3201","pckA","protein","Sta","Lac","controlled for Growth"
"3202","gltX","protein","Sta","Lac","controlled for Growth"
"3203","ycfD","protein","Sta","Lac","controlled for Growth"
"3204","hisD","protein","Sta","Lac","controlled for Growth"
"3205","yrdA","protein","Sta","Lac","controlled for Growth"
"3206","yeaZ","protein","Sta","Lac","controlled for Growth"
"3207","ycbL","protein","Sta","Lac","controlled for Growth"
"3208","cysS","protein","Sta","Lac","controlled for Growth"
"3209","tolB","protein","Sta","Lac","controlled for Growth"
"3210","ybgS","protein","Sta","Lac","controlled for Growth"
"3211","glnH","protein","Sta","Lac","controlled for Growth"
"3212","guaA","protein","Sta","Lac","controlled for Growth"
"3213","rplE","protein","Sta","Lac","controlled for Growth"
"3214","manA","protein","Sta","Lac","controlled for Growth"
"3215","ecnB","protein","Sta","Lac","controlled for Growth"
"3216","nagA","protein","Sta","Lac","controlled for Growth"
"3217","panD","protein","Sta","Lac","controlled for Growth"
"3218","pykA","protein","Sta","Lac","controlled for Growth"
"3219","murC","protein","Sta","Lac","controlled for Growth"
"3220","moeA","protein","Sta","Lac","controlled for Growth"
"3221","guaC","protein","Sta","Lac","controlled for Growth"
"3222","aspS","protein","Sta","Lac","controlled for Growth"
"3223","yfiO","protein","Sta","Lac","controlled for Growth"
"3224","agp","protein","Sta","Lac","controlled for Growth"
"3225","lpdA","protein","Sta","Lac","controlled for Growth"
"3226","tufA","protein","Sta","Lac","controlled for Growth"
"3227","rfbD","protein","Sta","Lac","controlled for Growth"
"3228","hisF","protein","Sta","Lac","controlled for Growth"
"3229","truD","protein","Sta","Lac","controlled for Growth"
"3230","rof","protein","Sta","Lac","controlled for Growth"
"3231","metN","protein","Sta","Lac","controlled for Growth"
"3232","aroE","protein","Sta","Lac","controlled for Growth"
"3233","pnp","protein","Sta","Lac","controlled for Growth"
"3234","rpmE","protein","Sta","Lac","controlled for Growth"
"3235","ybcU","protein","Sta","Lac","controlled for Growth"
"3236","ybeM","protein","Sta","Lac","controlled for Growth"
"3237","groES","protein","Sta","Lac","controlled for Growth"
"3238","rplY","protein","Sta","Lac","controlled for Growth"
"3239","ygfZ","protein","Sta","Lac","controlled for Growth"
"3240","rpsG","protein","Sta","Lac","controlled for Growth"
"3241","hflB","protein","Sta","Lac","controlled for Growth"
"3242","yfgD","protein","Sta","Lac","controlled for Growth"
"3243","rplS","protein","Sta","Lac","controlled for Growth"
"3244","ileS","protein","Sta","Lac","controlled for Growth"
"3245","slyA","protein","Sta","Lac","controlled for Growth"
"3246","tyrA","protein","Sta","Lac","controlled for Growth"
"3247","panC","protein","Sta","Lac","controlled for Growth"
"3248","hpt","protein","Sta","Lac","controlled for Growth"
"3249","ypfH","protein","Sta","Lac","controlled for Growth"
"3250","rpiA","protein","Sta","Lac","controlled for Growth"
"3251","selD","protein","Sta","Lac","controlled for Growth"
"3252","ycfF","protein","Sta","Lac","controlled for Growth"
"3253","ygiM","protein","Sta","Lac","controlled for Growth"
"3254","imp","protein","Sta","Lac","controlled for Growth"
"3255","kdgR","protein","Sta","Lac","controlled for Growth"
"3256","dacC","protein","Sta","Lac","controlled for Growth"
"3257","glgC","protein","Sta","Lac","controlled for Growth"
"3258","accA","protein","Sta","Lac","controlled for Growth"
"3259","fbaA","protein","Sta","Lac","controlled for Growth"
"3260","pal","protein","Sta","Lac","controlled for Growth"
"3261","rbfA","protein","Sta","Lac","controlled for Growth"
"3262","yeaD","protein","Sta","Lac","controlled for Growth"
"3263","thrA","protein","Sta","Lac","controlled for Growth"
"3264","pdxB","protein","Sta","Lac","controlled for Growth"
"3265","surA","protein","Sta","Lac","controlled for Growth"
"3266","malP","protein","Sta","Lac","controlled for Growth"
"3267","bioD","protein","Sta","Lac","controlled for Growth"
"3268","rnb","protein","Sta","Lac","controlled for Growth"
"3269","def","protein","Sta","Lac","controlled for Growth"
"3270","rob","protein","Sta","Lac","controlled for Growth"
"3271","acnB","protein","Sta","Lac","controlled for Growth"
"3272","clpX","protein","Sta","Lac","controlled for Growth"
"3273","dacA","protein","Sta","Lac","controlled for Growth"
"3274","yfcF","protein","Sta","Lac","controlled for Growth"
"3275","prlC","protein","Sta","Lac","controlled for Growth"
"3276","ycaR","protein","Sta","Lac","controlled for Growth"
"3277","pepD","protein","Sta","Lac","controlled for Growth"
"3278","ilvH","protein","Sta","Lac","controlled for Growth"
"3279","glmM","protein","Sta","Lac","controlled for Growth"
"3280","hslO","protein","Sta","Lac","controlled for Growth"
"3281","mdoG","protein","Sta","Lac","controlled for Growth"
"3282","yicC","protein","Sta","Lac","controlled for Growth"
"3283","ydjA","protein","Sta","Lac","controlled for Growth"
"3284","hisA","protein","Sta","Lac","controlled for Growth"
"3285","clpP","protein","Sta","Lac","controlled for Growth"
"3286","clpB","protein","Sta","Lac","controlled for Growth"
"3287","map","protein","Sta","Lac","controlled for Growth"
"3288","gabD","protein","Sta","Lac","controlled for Growth"
"3289","argE","protein","Sta","Lac","controlled for Growth"
"3290","yciI","protein","Sta","Lac","controlled for Growth"
"3291","glyA","protein","Sta","Lac","controlled for Growth"
"3292","glnB","protein","Sta","Lac","controlled for Growth"
"3293","recA","protein","Sta","Lac","controlled for Growth"
"3294","pheA","protein","Sta","Lac","controlled for Growth"
"3295","rfaD","protein","Sta","Lac","controlled for Growth"
"3296","baeR","protein","Sta","Lac","controlled for Growth"
"3297","yniA","protein","Sta","Lac","controlled for Growth"
"3298","dps","protein","Sta","Lac","controlled for Growth"
"3299","ygdH","protein","Sta","Lac","controlled for Growth"
"3300","serB","protein","Sta","Lac","controlled for Growth"
"3301","yfcZ","protein","Sta","Lac","controlled for Growth"
"3302","rpsH","protein","Sta","Lac","controlled for Growth"
"3303","yrbI","protein","Sta","Lac","controlled for Growth"
"3304","rpmI","protein","Sta","Lac","controlled for Growth"
"3305","sohB","protein","Sta","Lac","controlled for Growth"
"3306","yajF","protein","Sta","Lac","controlled for Growth"
"3307","glnQ","protein","Sta","Lac","controlled for Growth"
"3308","gltD","protein","Sta","Lac","controlled for Growth"
"3309","ybiC","protein","Sta","Lac","controlled for Growth"
"3310","aspA","protein","Sta","Lac","controlled for Growth"
"3311","deoD","protein","Sta","Lac","controlled for Growth"
"3312","cutA","protein","Sta","Lac","controlled for Growth"
"3313","ubiG","protein","Sta","Lac","controlled for Growth"
"3314","atpH","protein","Sta","Lac","controlled for Growth"
"3315","rhlB","protein","Sta","Lac","controlled for Growth"
"3316","rpsF","protein","Sta","Lac","controlled for Growth"
"3317","yecO","protein","Sta","Lac","controlled for Growth"
"3318","metK","protein","Sta","Lac","controlled for Growth"
"3319","murF","protein","Sta","Lac","controlled for Growth"
"3320","glyS","protein","Sta","Lac","controlled for Growth"
"3321","ygfB","protein","Sta","Lac","controlled for Growth"
"3322","ftsA","protein","Sta","Lac","controlled for Growth"
"3323","cysK","protein","Sta","Lac","controlled for Growth"
"3324","fabA","protein","Sta","Lac","controlled for Growth"
"3325","fabF","protein","Sta","Lac","controlled for Growth"
"3326","ppiC","protein","Sta","Lac","controlled for Growth"
"3327","ycgL","protein","Sta","Lac","controlled for Growth"
"3328","fdx","protein","Sta","Lac","controlled for Growth"
"3329","atpB","protein","Sta","Lac","controlled for Growth"
"3330","panB","protein","Sta","Lac","controlled for Growth"
"3331","tolC","protein","Sta","Lac","controlled for Growth"
"3332","galM","protein","Sta","Lac","controlled for Growth"
"3333","glnS","protein","Sta","Lac","controlled for Growth"
"3334","wecE","protein","Sta","Lac","controlled for Growth"
"3335","mraW","protein","Sta","Lac","controlled for Growth"
"3336","dapB","protein","Sta","Lac","controlled for Growth"
"3337","nrdR","protein","Sta","Lac","controlled for Growth"
"3338","pfkB","protein","Sta","Lac","controlled for Growth"
"3339","pheS","protein","Sta","Lac","controlled for Growth"
"3340","trxC","protein","Sta","Lac","controlled for Growth"
"3341","ilvA","protein","Sta","Lac","controlled for Growth"
"3342","ilvG","protein","Sta","Lac","controlled for Growth"
"3343","yggV","protein","Sta","Lac","controlled for Growth"
"3344","argS","protein","Sta","Lac","controlled for Growth"
"3345","yfcH","protein","Sta","Lac","controlled for Growth"
"3346","nuoC","protein","Sta","Lac","controlled for Growth"
"3347","yccJ","protein","Sta","Lac","controlled for Growth"
"3348","flu","protein","Sta","Lac","controlled for Growth"
"3349","proB","protein","Sta","Lac","controlled for Growth"
"3350","oxyR","protein","Sta","Lac","controlled for Growth"
"3351","cdd","protein","Sta","Lac","controlled for Growth"
"3352","yiiT","protein","Sta","Lac","controlled for Growth"
"3353","ybeZ","protein","Sta","Lac","controlled for Growth"
"3354","nfsA","protein","Sta","Lac","controlled for Growth"
"3355","seqA","protein","Sta","Lac","controlled for Growth"
"3356","ispH","protein","Sta","Lac","controlled for Growth"
"3357","leuA","protein","Sta","Lac","controlled for Growth"
"3358","sodA","protein","Sta","Lac","controlled for Growth"
"3359","lolD","protein","Sta","Lac","controlled for Growth"
"3360","ilvI","protein","Sta","Lac","controlled for Growth"
"3361","hisH","protein","Sta","Lac","controlled for Growth"
"3362","phoP","protein","Sta","Lac","controlled for Growth"
"3363","rplA","protein","Sta","Lac","controlled for Growth"
"3364","livF","protein","Sta","Lac","controlled for Growth"
"3365","aceB","protein","Sta","Lac","controlled for Growth"
"3366","plsB","protein","Sta","Lac","controlled for Growth"
"3367","suhB","protein","Sta","Lac","controlled for Growth"
"3368","yidC","protein","Sta","Lac","controlled for Growth"
"3369","fadB","protein","Sta","Lac","controlled for Growth"
"3370","yfcB","protein","Sta","Lac","controlled for Growth"
"3371","dnaB","protein","Sta","Lac","controlled for Growth"
"3372","hfq","protein","Sta","Lac","controlled for Growth"
"3373","yraP","protein","Sta","Lac","controlled for Growth"
"3374","yeaY","protein","Sta","Lac","controlled for Growth"
"3375","rhsE","protein","Sta","Lac","controlled for Growth"
"3376","ybgK","protein","Sta","Lac","controlled for Growth"
"3377","gpsA","protein","Sta","Lac","controlled for Growth"
"3378","rfaE","protein","Sta","Lac","controlled for Growth"
"3379","rplL","protein","Sta","Lac","controlled for Growth"
"3380","ltaE","protein","Sta","Lac","controlled for Growth"
"3381","codA","protein","Sta","Lac","controlled for Growth"
"3382","arcC","protein","Sta","Lac","controlled for Growth"
"3383","hemC","protein","Sta","Lac","controlled for Growth"
"3384","nadE","protein","Sta","Lac","controlled for Growth"
"3385","asnB","protein","Sta","Lac","controlled for Growth"
"3386","ygdK","protein","Sta","Lac","controlled for Growth"
"3387","flgG","protein","Sta","Lac","controlled for Growth"
"3388","rhsD","protein","Sta","Lac","controlled for Growth"
"3389","ushA","protein","Sta","Lac","controlled for Growth"
"3390","aroK","protein","Sta","Lac","controlled for Growth"
"3391","ugpB","protein","Sta","Lac","controlled for Growth"
"3392","yeiP","protein","Sta","Lac","controlled for Growth"
"3393","fabG","protein","Sta","Lac","controlled for Growth"
"3394","yhgF","protein","Sta","Lac","controlled for Growth"
"3395","arcA","protein","Sta","Lac","controlled for Growth"
"3396","purU","protein","Sta","Lac","controlled for Growth"
"3397","gyrB","protein","Sta","Lac","controlled for Growth"
"3398","ispG","protein","Sta","Lac","controlled for Growth"
"3399","hisS","protein","Sta","Lac","controlled for Growth"
"3400","acs","protein","Sta","Lac","controlled for Growth"
"3401","metH","protein","Sta","Lac","controlled for Growth"
"3402","fbaB","protein","Sta","Lac","controlled for Growth"
"3403","yfaY","protein","Sta","Lac","controlled for Growth"
"3404","astC","protein","Sta","Lac","controlled for Growth"
"3405","rpsO","protein","Sta","Lac","controlled for Growth"
"3406","tyrR","protein","Sta","Lac","controlled for Growth"
"3407","ribC","protein","Sta","Lac","controlled for Growth"
"3408","mtlD","protein","Sta","Lac","controlled for Growth"
"3409","pdxA","protein","Sta","Lac","controlled for Growth"
"3410","rpmA","protein","Sta","Lac","controlled for Growth"
"3411","acpP","protein","Sta","Lac","controlled for Growth"
"3412","menB","protein","Sta","Lac","controlled for Growth"
"3413","fic","protein","Sta","Lac","controlled for Growth"
"3414","wrbA","protein","Sta","Lac","controlled for Growth"
"3415","fadL","protein","Sta","Lac","controlled for Growth"
"3416","galE","protein","Sta","Lac","controlled for Growth"
"3417","alaS","protein","Sta","Lac","controlled for Growth"
"3418","gph","protein","Sta","Lac","controlled for Growth"
"3419","yggJ","protein","Sta","Lac","controlled for Growth"
"3420","ydfG","protein","Sta","Lac","controlled for Growth"
"3421","rpsN","protein","Sta","Lac","controlled for Growth"
"3422","mgsA","protein","Sta","Lac","controlled for Growth"
"3423","yijP","protein","Sta","Lac","controlled for Growth"
"3424","yajQ","protein","Sta","Lac","controlled for Growth"
"3425","purK","protein","Sta","Lac","controlled for Growth"
"3426","aroF","protein","Sta","Lac","controlled for Growth"
"3427","leuD","protein","Sta","Lac","controlled for Growth"
"3428","slp","protein","Sta","Lac","controlled for Growth"
"3429","rsmC","protein","Sta","Lac","controlled for Growth"
"3430","bipA","protein","Sta","Lac","controlled for Growth"
"3431","glk","protein","Sta","Lac","controlled for Growth"
"3432","ygiQ","protein","Sta","Lac","controlled for Growth"
"3433","nagD","protein","Sta","Lac","controlled for Growth"
"3434","dcp","protein","Sta","Lac","controlled for Growth"
"3435","rtn","protein","Sta","Lac","controlled for Growth"
"3436","guaB","protein","Sta","Lac","controlled for Growth"
"3437","add","protein","Sta","Lac","controlled for Growth"
"3438","pntB","protein","Sta","Lac","controlled for Growth"
"3439","pdxJ","protein","Sta","Lac","controlled for Growth"
"3440","ybgF","protein","Sta","Lac","controlled for Growth"
"3441","uspA","protein","Sta","Lac","controlled for Growth"
"3442","hisI","protein","Sta","Lac","controlled for Growth"
"3443","iscS","protein","Sta","Lac","controlled for Growth"
"3444","slyB","protein","Sta","Lac","controlled for Growth"
"3445","iscR","protein","Sta","Lac","controlled for Growth"
"3446","tesB","protein","Sta","Lac","controlled for Growth"
"3447","acpD","protein","Sta","Lac","controlled for Growth"
"3448","metC","protein","Sta","Lac","controlled for Growth"
"3449","infC","protein","Sta","Lac","controlled for Growth"
"3450","yobA","protein","Sta","Lac","controlled for Growth"
"3451","ybeD","protein","Sta","Lac","controlled for Growth"
"3452","lepA","protein","Sta","Lac","controlled for Growth"
"3453","yjeQ","protein","Sta","Lac","controlled for Growth"
"3454","secA","protein","Sta","Lac","controlled for Growth"
"3455","yhcB","protein","Sta","Lac","controlled for Growth"
"3456","intB","protein","Sta","Lac","controlled for Growth"
"3457","ydgJ","protein","Sta","Lac","controlled for Growth"
"3458","phoU","protein","Sta","Lac","controlled for Growth"
"3459","sodB","protein","Sta","Lac","controlled for Growth"
"3460","fabI","protein","Sta","Lac","controlled for Growth"
"3461","astD","protein","Sta","Lac","controlled for Growth"
"3462","rlpB","protein","Sta","Lac","controlled for Growth"
"3463","yrdC","protein","Sta","Lac","controlled for Growth"
"3464","ycgK","protein","Sta","Lac","controlled for Growth"
"3465","potG","protein","Sta","Lac","controlled for Growth"
"3466","celF","protein","Sta","Lac","controlled for Growth"
"3467","ycfH","protein","Sta","Lac","controlled for Growth"
"3468","mpl","protein","Sta","Lac","controlled for Growth"
"3469","rng","protein","Sta","Lac","controlled for Growth"
"3470","yigB","protein","Sta","Lac","controlled for Growth"
"3471","uvrC","protein","Sta","Lac","controlled for Growth"
"3472","yhdE","protein","Sta","Lac","controlled for Growth"
"3473","ydhF","protein","Sta","Lac","controlled for Growth"
"3474","apaG","protein","Sta","Lac","controlled for Growth"
"3475","nirB","protein","Sta","Lac","controlled for Growth"
"3476","dut","protein","Sta","Lac","controlled for Growth"
"3477","xni","protein","Sta","Lac","controlled for Growth"
"3478","avtA","protein","Sta","Lac","controlled for Growth"
"3479","secD","protein","Sta","Lac","controlled for Growth"
"3480","mnmA","protein","Sta","Lac","controlled for Growth"
"3481","ycfP","protein","Sta","Lac","controlled for Growth"
"3482","tyrS","protein","Sta","Lac","controlled for Growth"
"3483","nemA","protein","Sta","Lac","controlled for Growth"
"3484","rbsC","protein","Sta","Lac","controlled for Growth"
"3485","pdxH","protein","Sta","Lac","controlled for Growth"
"3486","yebR","protein","Sta","Lac","controlled for Growth"
"3487","sodC","protein","Sta","Lac","controlled for Growth"
"3488","ykfE","protein","Sta","Lac","controlled for Growth"
"3489","potD","protein","Sta","Lac","controlled for Growth"
"3490","cspC","protein","Sta","Lac","controlled for Growth"
"3491","asmA","protein","Sta","Lac","controlled for Growth"
"3492","ftsY","protein","Sta","Lac","controlled for Growth"
"3493","yhiR","protein","Sta","Lac","controlled for Growth"
"3494","atpE","protein","Sta","Lac","controlled for Growth"
"3495","aroC","protein","Sta","Lac","controlled for Growth"
"3496","acrB","protein","Sta","Lac","controlled for Growth"
"3497","ybjL","protein","Sta","Lac","controlled for Growth"
"3498","ompR","protein","Sta","Lac","controlled for Growth"
"3499","hpaD","protein","Sta","Lac","controlled for Growth"
"3500","ebgA","protein","Sta","Lac","controlled for Growth"
"3501","hyaB","protein","Sta","Lac","controlled for Growth"
"3502","pepN","protein","Sta","Lac","controlled for Growth"
"3503","fpr","protein","Sta","Lac","controlled for Growth"
"3504","hemE","protein","Sta","Lac","controlled for Growth"
"3505","lon","protein","Sta","Lac","controlled for Growth"
"3506","cysG","protein","Sta","Lac","controlled for Growth"
"3507","ptsI","protein","Sta","Lac","controlled for Growth"
"3508","rhsB","protein","Sta","Lac","controlled for Growth"
"3509","rplK","protein","Sta","Lac","controlled for Growth"
"3510","wza","protein","Sta","Lac","controlled for Growth"
"3511","creA","protein","Sta","Lac","controlled for Growth"
"3512","adhE","protein","Sta","Lac","controlled for Growth"
"3513","cutC","protein","Sta","Lac","controlled for Growth"
"3514","malK","protein","Sta","Lac","controlled for Growth"
"3515","fdhF","protein","Sta","Lac","controlled for Growth"
"3516","hycE","protein","Sta","Lac","controlled for Growth"
"3517","secF","protein","Sta","Lac","controlled for Growth"
"3518","yhbG","protein","Sta","Lac","controlled for Growth"
"3519","aroB","protein","Sta","Lac","controlled for Growth"
"3520","hypF","protein","Sta","Lac","controlled for Growth"
"3521","tsf","protein","Sta","Lac","controlled for Growth"
"3522","recB","protein","Sta","Lac","controlled for Growth"
"3523","fadE","protein","Sta","Lac","controlled for Growth"
"3524","rpsD","protein","Sta","Lac","controlled for Growth"
"3525","argK","protein","Sta","Lac","controlled for Growth"
"3526","tmk","protein","Sta","Lac","controlled for Growth"
"3527","gpt","protein","Sta","Lac","controlled for Growth"
"3528","rrmJ","protein","Sta","Lac","controlled for Growth"
"3529","yggE","protein","Sta","Lac","controlled for Growth"
"3530","yrbC","protein","Sta","Lac","controlled for Growth"
"3531","msrA","protein","Sta","Lac","controlled for Growth"
"3532","engB","protein","Sta","Lac","controlled for Growth"
"3533","yhhA","protein","Sta","Lac","controlled for Growth"
"3534","fadA","protein","Sta","Lac","controlled for Growth"
"3535","gloB","protein","Sta","Lac","controlled for Growth"
"3536","sbmC","protein","Sta","Lac","controlled for Growth"
"3537","topA","protein","Sta","Lac","controlled for Growth"
"3538","yraJ","protein","Sta","Lac","controlled for Growth"
"3539","tam","protein","Sta","Lac","controlled for Growth"
"3540","yfcE","protein","Sta","Lac","controlled for Growth"
"3541","rtcR","protein","Sta","Lac","controlled for Growth"
"3542","fucI","protein","Sta","Lac","controlled for Growth"
"3543","speB","protein","Sta","Lac","controlled for Growth"
"3544","mioC","protein","Sta","Lac","controlled for Growth"
"3545","yeeD","protein","Sta","Lac","controlled for Growth"
"3546","pyrE","protein","Sta","Lac","controlled for Growth"
"3547","ycgM","protein","Sta","Lac","controlled for Growth"
"3548","yfgC","protein","Sta","Lac","controlled for Growth"
"3549","phnA","protein","Sta","Lac","controlled for Growth"
"3550","kdsB","protein","Sta","Lac","controlled for Growth"
"3551","yfgL","protein","Sta","Lac","controlled for Growth"
"3552","blc","protein","Sta","Lac","controlled for Growth"
"3553","rrmB","protein","Sta","Lac","controlled for Growth"
"3554","tolQ","protein","Sta","Lac","controlled for Growth"
