,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
77,YP_003043308.1,64.2896363762572,-0.0453449897839815,0.0165531300009485,-2.73936045819632,0.00615588404928115,0.0193513581588242,ilvI,ECB_00079,b0077,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
78,YP_003043309.1,20.4364832636054,-0.0245765713453776,0.0151250242835751,-1.6248946702232,0.104185004055221,0.206382478802312,ilvH,ECB_00080,b0078,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
79,YP_003043310.1,16.1079838473837,-0.0915501937465323,0.017264094619547,-5.30292469799581,1.13961939127086e-07,1.58122190538831e-06,fruR,ECB_00081,b0080,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
80,YP_003043311.1,7.56953519899581,-0.0574082690997222,0.0206524371066405,-2.77973339433454,0.00544035431268953,0.0174253736642265,yabB,ECB_00082,b0081,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
81,YP_003043312.1,27.8706998800502,-0.0341896773771978,0.0131931180156509,-2.59147817344155,0.00955646034298727,0.0280764940601766,mraW,ECB_00083,b0082,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
82,YP_003043313.1,2.14149203303354,-0.0780997335181893,0.031958454070535,-2.44378946947236,0.0145339049966259,0.0400808248432596,ftsL,ECB_00084,b0083,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
83,YP_003043314.1,6.05197584846577,0.0100767357420167,0.0291240416638369,0.345993727736247,0.729347428512464,0.876543044147973,ftsI,ECB_00085,b0084,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
84,YP_003043315.1,27.7051263435195,0.0627975338392976,0.0267085961223203,2.35121058222966,0.0187124403946835,0.0492521223470861,murE,ECB_00086,b0085,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
85,YP_003043316.1,13.113531027643,-0.0605886813855102,0.0166793231019645,-3.63256236569781,0.000280620723376917,0.00134823598291089,murF,ECB_00087,b0086,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
86,YP_003043317.1,0.37446921291574,0.0293826277394765,0.0364467712814644,0.806179167766763,0.420139548720651,NA,mraY,ECB_00088,b0087,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
87,YP_003043318.1,26.5064183535883,-0.0177674475731704,0.0134585170333151,-1.32016384340035,0.18678032083704,0.333469690945332,murD,ECB_00089,b0088,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
88,YP_003043319.1,0.543738581651221,0.0343097338361694,0.0353424290992541,0.970780297523282,0.331657695882872,0.519011241150688,ftsW,ECB_00090,b0089,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
89,YP_003043320.1,18.6276904717721,-0.0373497697970521,0.0130253703554666,-2.86746317208376,0.0041377695859337,0.0138168882750214,murG,ECB_00091,b0090,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
90,YP_003043321.1,31.825449380648,-0.0576069430270727,0.0170877149043835,-3.37124907276483,0.00074828171516792,0.00318613603323483,murC,ECB_00092,b0091,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
91,YP_003043322.1,24.9373766612741,-0.0188525448504214,0.0133410932895023,-1.41311843349869,0.157620904095481,0.289601421394608,ddl,ECB_00093,b0092,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
92,YP_003043323.1,2.59880333824077,-0.015972869744356,0.0298963033914822,-0.534275744234882,0.593150771270498,0.779937689490647,ftsQ,ECB_00094,b0093,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
93,YP_003043324.1,25.010600685817,-0.0641636073426552,0.0164024123414264,-3.91183967376565,9.15957134849188e-05,0.000517274739838515,ftsA,ECB_00095,b0094,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
94,YP_003043325.1,127.181321715095,-0.0390038520568751,0.0154608146492718,-2.52275529729038,0.0116439395576744,0.033169771182437,ftsZ,ECB_00096,b0095,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
95,YP_003043326.1,9.41244617485938,-0.0752213411175242,0.0201526579217492,-3.7325766858943,0.000189530967829649,0.000954773373151237,lpxC,ECB_00097,b0096,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
96,YP_003043327.1,0.246876309242874,-0.00246812603330556,0.0362943119719505,-0.0680031084543775,0.945783159826031,NA,yacA,ECB_00098,b0097,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
97,YP_003043328.1,179.493494765047,-0.0337993587611862,0.0172781534948044,-1.95619044427113,0.0504427237751786,0.112995913592415,secA,ECB_00099,b0098,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
98,YP_003043329.1,1.90113265798678,0.0501302885426915,0.0261864210627063,1.91436196732074,0.0555739216254866,0.122277822086426,mutT,ECB_00100,b0099,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
99,YP_003043330.1,12.5092352947138,-0.10925481275846,0.0203841048539553,-5.35980429561319,8.33121536671815e-08,1.18141772094563e-06,yacG,ECB_00101,b0101,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
100,YP_003043331.1,15.4087992588515,-0.0628633460601826,0.0165118702466953,-3.80716085585545,0.00014057131822122,0.000745467995641035,yacF,ECB_00102,b0102,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
101,YP_003043332.1,3.84357360648174,-0.130755445116761,0.0273041576453623,-4.78884742811214,1.67741950292839e-06,1.59751875145754e-05,coaE,ECB_00103,b0103,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
102,YP_003043333.1,17.7517871790847,-0.0172602448120504,0.0150470663446776,-1.14708371829274,0.251347022307509,0.4196504485518,guaC,ECB_00104,b0104,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
103,YP_003043334.1,0.270003036465128,0.00331177123353334,0.0362822423184988,0.0912780198219671,0.927271682710159,NA,hofC,ECB_00105,b0106,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
104,YP_003043335.1,0.709093226508674,0.0115071762137341,0.0333126976238691,0.345429131668069,0.729771779532951,0.876543044147973,hofB,ECB_00106,b0107,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
105,YP_003043336.1,0.0631465449488755,-0.000583683248292713,0.0296466345256048,-0.0196880103806928,0.98429225525766,NA,ppdD,ECB_00107,b0108,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
106,YP_003043337.1,14.618384560478,-0.044547413779928,0.0192593039763522,-2.31303342190487,0.0207208016579539,0.0536607083965838,nadC,ECB_00108,b0109,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
107,YP_003043338.1,1.76047593270015,-0.0592969040556191,0.0292699269940436,-2.02586443306421,0.0427786788716706,0.0983604052056483,ampD,ECB_00109,b0110,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
108,YP_003043339.1,1.98888226457954,0.0860248976239871,0.026348820790207,3.26484810492771,0.00109522792072706,0.00438174427219773,ampE,ECB_00110,b0111,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
109,YP_003043340.1,4.53280749072219,-0.0339934582866008,0.0230263694326707,-1.47628389208285,0.139867696510568,0.262374192929789,aroP,ECB_00111,b0112,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
110,YP_003043341.1,9.94016387246308,-0.102756749185433,0.0191937464618987,-5.35365773375275,8.6193829748518e-08,1.21692078052842e-06,pdhR,ECB_00112,b0113,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
111,YP_003043342.1,356.539961524125,-0.0148730528345805,0.0153012681346913,-0.972014391464721,0.331043389024596,0.518554096968454,aceE,ECB_00113,b0114,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
112,YP_003043343.1,193.822177078524,-0.0281303697127212,0.0153548685173726,-1.8320163198333,0.066948989221125,0.142910342375863,aceF,ECB_00114,b0115,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
113,YP_003043344.1,252.968744407421,-0.0302267879648402,0.0160623961508686,-1.88183554190361,0.0598583484540602,0.130167502087022,lpdA,ECB_00115,b0116,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
114,YP_003043345.1,1.17928667630163,-0.0210113771587669,0.0360828532855143,-0.582309192471819,0.560358434759979,0.756170102872139,yacH,ECB_00116,b0117,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
115,YP_003043346.1,259.794695940747,-0.0310904973767927,0.0130991502929126,-2.37347436143353,0.0176216163902659,0.0471913337439817,acnB,ECB_00117,b0118,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
116,YP_003043347.1,3.14795291315536,-0.0946452348041499,0.0289904286566332,-3.26470629065688,0.00109577637127032,0.00438174427219773,yacL,ECB_00118,b0119,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
117,YP_003043348.1,42.712694641765,-0.106196452179831,0.0160802042847655,-6.60417307511712,3.99742301567853e-11,1.55032586596014e-09,speD,ECB_00119,b0120,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
118,YP_003043349.1,21.0276643393209,-0.035095165786187,0.0172250188114537,-2.0374529729309,0.041604670006464,0.0960727638097617,speE,ECB_00120,b0121,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
119,YP_003043350.1,1.30853830333138,-0.0119182916058799,0.0288716443691993,-0.412802660405258,0.679751202120603,0.844160719068334,yacC,ECB_00121,b0122,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
120,YP_003043351.1,19.813113767291,-0.0930989701380251,0.0190350881230774,-4.89091353483967,1.00369050766098e-06,1.02894259368175e-05,cueO,ECB_00122,b0123,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
121,YP_003043352.1,38.3876159154254,-0.0455141659598119,0.0167080538652258,-2.72408542173424,0.00644798268323092,0.0201515109294372,gcd,ECB_00123,b0124,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
