,lactate,glucote,Mg,,GlucoseTimeCourse,GlycerolTimeCourse
648,YP_003045466.1,,YP_003047369.1,,,
649,YP_003045468.1,,YP_003047374.1,,,
650,YP_003045470.1,,YP_003047380.1,,,
651,YP_003045473.1,,YP_003047382.1,,,
652,YP_003045474.1,,YP_003047384.1,,,
653,YP_003045475.1,,YP_003047385.1,,,
654,YP_003045477.1,,YP_003047386.1,,,
655,YP_003045478.1,,YP_003047400.1,,,
656,YP_003045481.1,,YP_003047405.1,,,
657,YP_003045488.1,,YP_003047416.1,,,
658,YP_003045491.1,,,,,
659,YP_003045492.1,,,,,
660,YP_003045494.1,,,,,
661,YP_003045498.1,,,,,
662,YP_003045499.1,,,,,
663,YP_003045504.1,,,,,
664,YP_003045521.1,,,,,
665,YP_003045524.1,,,,,
666,YP_003045528.1,,,,,
667,YP_003045529.1,,,,,
668,YP_003045533.1,,,,,
669,YP_003045535.1,,,,,
670,YP_003045536.1,,,,,
671,YP_003045538.1,,,,,
672,YP_003045543.1,,,,,
673,YP_003045544.1,,,,,
674,YP_003045548.1,,,,,
675,YP_003045552.1,,,,,
676,YP_003045564.1,,,,,
677,YP_003045566.1,,,,,
678,YP_003045567.1,,,,,
679,YP_003045569.1,,,,,
680,YP_003045571.1,,,,,
681,YP_003045572.1,,,,,
682,YP_003045574.1,,,,,
683,YP_003045575.1,,,,,
684,YP_003045579.1,,,,,
685,YP_003045587.1,,,,,
686,YP_003045625.1,,,,,
687,YP_003045628.1,,,,,
688,YP_003045632.1,,,,,
689,YP_003045641.1,,,,,
690,YP_003045645.1,,,,,
691,YP_003045648.1,,,,,
692,YP_003045661.1,,,,,
693,YP_003045666.1,,,,,
694,YP_003045669.1,,,,,
695,YP_003045676.1,,,,,
696,YP_003045681.1,,,,,
697,YP_003045700.1,,,,,
698,YP_003045703.1,,,,,
699,YP_003045711.1,,,,,
700,YP_003045712.1,,,,,
701,YP_003045715.1,,,,,
702,YP_003045718.1,,,,,
703,YP_003045725.1,,,,,
704,YP_003045726.1,,,,,
705,YP_003045727.1,,,,,
706,YP_003045733.1,,,,,
707,YP_003045741.1,,,,,
708,YP_003045745.1,,,,,
709,YP_003045751.1,,,,,
710,YP_003045757.1,,,,,
711,YP_003045758.1,,,,,
712,YP_003045759.1,,,,,
713,YP_003045762.1,,,,,
714,YP_003045763.1,,,,,
715,YP_003045764.1,,,,,
716,YP_003045767.1,,,,,
717,YP_003045768.1,,,,,
718,YP_003045771.1,,,,,
719,YP_003045773.1,,,,,
720,YP_003045775.1,,,,,
721,YP_003045777.1,,,,,
722,YP_003045788.1,,,,,
723,YP_003045795.1,,,,,
724,YP_003045800.1,,,,,
725,YP_003045801.1,,,,,
726,YP_003045802.1,,,,,
727,YP_003045803.1,,,,,
728,YP_003045817.1,,,,,
729,YP_003045834.1,,,,,
730,YP_003045859.1,,,,,
731,YP_003045860.1,,,,,
732,YP_003045861.1,,,,,
733,YP_003045862.1,,,,,
734,YP_003045866.1,,,,,
735,YP_003045867.1,,,,,
736,YP_003045868.1,,,,,
737,YP_003045871.1,,,,,
738,YP_003045875.1,,,,,
739,YP_003045882.1,,,,,
740,YP_003045884.1,,,,,
741,YP_003045885.1,,,,,
742,YP_003045891.1,,,,,
743,YP_003045898.1,,,,,
744,YP_003045901.1,,,,,
745,YP_003045902.1,,,,,
746,YP_003045903.1,,,,,
747,YP_003045905.1,,,,,
748,YP_003045906.1,,,,,
749,YP_003045908.1,,,,,
750,YP_003045919.1,,,,,
751,YP_003045934.1,,,,,
752,YP_003045936.1,,,,,
753,YP_003045937.1,,,,,
754,YP_003045938.1,,,,,
755,YP_003045942.1,,,,,
756,YP_003045947.1,,,,,
757,YP_003045949.1,,,,,
758,YP_003045950.1,,,,,
759,YP_003045951.1,,,,,
760,YP_003045952.1,,,,,
761,YP_003045957.1,,,,,
762,YP_003045958.1,,,,,
763,YP_003045959.1,,,,,
764,YP_003045962.1,,,,,
765,YP_003045963.1,,,,,
766,YP_003045982.1,,,,,
767,YP_003045990.1,,,,,
768,YP_003045992.1,,,,,
769,YP_003045993.1,,,,,
770,YP_003045995.1,,,,,
771,YP_003045996.1,,,,,
772,YP_003045998.1,,,,,
773,YP_003045999.1,,,,,
774,YP_003046000.1,,,,,
775,YP_003046006.1,,,,,
776,YP_003046009.1,,,,,
777,YP_003046010.1,,,,,
778,YP_003046015.1,,,,,
779,YP_003046017.1,,,,,
780,YP_003046018.1,,,,,
781,YP_003046019.1,,,,,
782,YP_003046020.1,,,,,
783,YP_003046025.1,,,,,
784,YP_003046026.1,,,,,
785,YP_003046027.1,,,,,
786,YP_003046029.1,,,,,
787,YP_003046034.1,,,,,
788,YP_003046037.1,,,,,
789,YP_003046042.1,,,,,
790,YP_003046043.1,,,,,
791,YP_003046046.1,,,,,
792,YP_003046047.1,,,,,
793,YP_003046049.1,,,,,
794,YP_003046052.1,,,,,
795,YP_003046053.1,,,,,
796,YP_003046057.1,,,,,
797,YP_003046067.1,,,,,
798,YP_003046071.1,,,,,
799,YP_003046072.1,,,,,
800,YP_003046079.1,,,,,
801,YP_003046084.1,,,,,
802,YP_003046093.1,,,,,
803,YP_003046101.1,,,,,
804,YP_003046103.1,,,,,
805,YP_003046105.1,,,,,
806,YP_003046115.1,,,,,
807,YP_003046117.1,,,,,
808,YP_003046118.1,,,,,
809,YP_003046126.1,,,,,
810,YP_003046128.1,,,,,
811,YP_003046130.1,,,,,
812,YP_003046131.1,,,,,
813,YP_003046134.1,,,,,
814,YP_003046136.1,,,,,
815,YP_003046137.1,,,,,
816,YP_003046142.1,,,,,
817,YP_003046144.1,,,,,
818,YP_003046149.1,,,,,
819,YP_003046150.1,,,,,
820,YP_003046154.1,,,,,
821,YP_003046155.1,,,,,
822,YP_003046158.1,,,,,
823,YP_003046161.1,,,,,
824,YP_003046163.1,,,,,
825,YP_003046170.1,,,,,
826,YP_003046171.1,,,,,
827,YP_003046177.1,,,,,
828,YP_003046178.1,,,,,
829,YP_003046179.1,,,,,
830,YP_003046180.1,,,,,
831,YP_003046182.1,,,,,
832,YP_003046184.1,,,,,
833,YP_003046186.1,,,,,
834,YP_003046188.1,,,,,
835,YP_003046190.1,,,,,
836,YP_003046191.1,,,,,
837,YP_003046192.1,,,,,
838,YP_003046193.1,,,,,
839,YP_003046194.1,,,,,
840,YP_003046195.1,,,,,
841,YP_003046196.1,,,,,
842,YP_003046206.1,,,,,
843,YP_003046210.1,,,,,
844,YP_003046211.1,,,,,
845,YP_003046213.1,,,,,
846,YP_003046224.1,,,,,
847,YP_003046234.1,,,,,
848,YP_003046238.1,,,,,
849,YP_003046264.1,,,,,
850,YP_003046272.1,,,,,
851,YP_003046283.1,,,,,
852,YP_003046284.1,,,,,
853,YP_003046287.1,,,,,
854,YP_003046293.1,,,,,
855,YP_003046300.1,,,,,
856,YP_003046305.1,,,,,
857,YP_003046306.1,,,,,
858,YP_003046307.1,,,,,
859,YP_003046310.1,,,,,
860,YP_003046312.1,,,,,
861,YP_003046313.1,,,,,
862,YP_003046327.1,,,,,
863,YP_003046329.1,,,,,
864,YP_003046358.1,,,,,
865,YP_003046360.1,,,,,
866,YP_003046364.1,,,,,
867,YP_003046365.1,,,,,
868,YP_003046369.1,,,,,
869,YP_003046370.1,,,,,
870,YP_003046371.1,,,,,
871,YP_003046373.1,,,,,
872,YP_003046374.1,,,,,
873,YP_003046381.1,,,,,
874,YP_003046386.1,,,,,
875,YP_003046390.1,,,,,
876,YP_003046400.1,,,,,
877,YP_003046402.1,,,,,
878,YP_003046403.1,,,,,
879,YP_003046405.1,,,,,
880,YP_003046409.1,,,,,
881,YP_003046411.1,,,,,
882,YP_003046413.1,,,,,
883,YP_003046414.1,,,,,
884,YP_003046415.1,,,,,
885,YP_003046417.1,,,,,
886,YP_003046418.1,,,,,
887,YP_003046430.1,,,,,
888,YP_003046447.1,,,,,
889,YP_003046449.1,,,,,
890,YP_003046457.1,,,,,
891,YP_003046469.1,,,,,
892,YP_003046475.1,,,,,
893,YP_003046484.1,,,,,
894,YP_003046489.1,,,,,
895,YP_003046498.1,,,,,
896,YP_003046500.1,,,,,
897,YP_003046503.1,,,,,
898,YP_003046505.1,,,,,
899,YP_003046506.1,,,,,
900,YP_003046507.1,,,,,
901,YP_003046509.1,,,,,
902,YP_003046510.1,,,,,
903,YP_003046511.1,,,,,
904,YP_003046512.1,,,,,
905,YP_003046515.1,,,,,
906,YP_003046522.1,,,,,
907,YP_003046527.1,,,,,
908,YP_003046535.1,,,,,
909,YP_003046538.1,,,,,
910,YP_003046540.1,,,,,
911,YP_003046541.1,,,,,
912,YP_003046542.1,,,,,
913,YP_003046543.1,,,,,
914,YP_003046545.1,,,,,
915,YP_003046549.1,,,,,
916,YP_003046564.1,,,,,
917,YP_003046566.1,,,,,
918,YP_003046568.1,,,,,
919,YP_003046569.1,,,,,
920,YP_003046571.1,,,,,
921,YP_003046575.1,,,,,
922,YP_003046578.1,,,,,
923,YP_003046579.1,,,,,
924,YP_003046581.1,,,,,
925,YP_003046588.1,,,,,
926,YP_003046589.1,,,,,
927,YP_003046593.1,,,,,
928,YP_003046594.1,,,,,
929,YP_003046596.1,,,,,
930,YP_003046600.1,,,,,
931,YP_003046602.1,,,,,
932,YP_003046609.1,,,,,
933,YP_003046614.1,,,,,
934,YP_003046615.1,,,,,
935,YP_003046617.1,,,,,
936,YP_003046619.1,,,,,
937,YP_003046620.1,,,,,
938,YP_003046621.1,,,,,
939,YP_003046622.1,,,,,
940,YP_003046630.1,,,,,
941,YP_003046631.1,,,,,
942,YP_003046633.1,,,,,
943,YP_003046639.1,,,,,
944,YP_003046640.1,,,,,
945,YP_003046653.1,,,,,
946,YP_003046660.1,,,,,
947,YP_003046661.1,,,,,
948,YP_003046662.1,,,,,
949,YP_003046663.1,,,,,
950,YP_003046683.1,,,,,
951,YP_003046689.1,,,,,
952,YP_003046691.1,,,,,
953,YP_003046694.1,,,,,
954,YP_003046697.1,,,,,
955,YP_003046702.1,,,,,
956,YP_003046704.1,,,,,
957,YP_003046707.1,,,,,
958,YP_003046709.1,,,,,
959,YP_003046710.1,,,,,
960,YP_003046711.1,,,,,
961,YP_003046714.1,,,,,
962,YP_003046715.1,,,,,
963,YP_003046716.1,,,,,
964,YP_003046720.1,,,,,
965,YP_003046723.1,,,,,
966,YP_003046725.1,,,,,
967,YP_003046728.1,,,,,
968,YP_003046733.1,,,,,
969,YP_003046734.1,,,,,
970,YP_003046737.1,,,,,
971,YP_003046738.1,,,,,
972,YP_003046740.1,,,,,
973,YP_003046741.1,,,,,
974,YP_003046742.1,,,,,
975,YP_003046755.1,,,,,
976,YP_003046764.1,,,,,
977,YP_003046767.1,,,,,
978,YP_003046769.1,,,,,
979,YP_003046770.1,,,,,
980,YP_003046771.1,,,,,
981,YP_003046772.1,,,,,
982,YP_003046774.1,,,,,
983,YP_003046776.1,,,,,
984,YP_003046777.1,,,,,
985,YP_003046782.1,,,,,
986,YP_003046783.1,,,,,
987,YP_003046787.1,,,,,
988,YP_003046799.1,,,,,
989,YP_003046804.1,,,,,
990,YP_003046807.1,,,,,
991,YP_003046820.1,,,,,
992,YP_003046829.1,,,,,
993,YP_003046849.1,,,,,
994,YP_003046850.1,,,,,
995,YP_003046857.1,,,,,
996,YP_003046865.1,,,,,
997,YP_003046867.1,,,,,
998,YP_003046869.1,,,,,
999,YP_003046870.1,,,,,
1000,YP_003046871.1,,,,,
1001,YP_003046872.1,,,,,
1002,YP_003046877.1,,,,,
1003,YP_003046878.1,,,,,
1004,YP_003046880.1,,,,,
1005,YP_003046884.1,,,,,
1006,YP_003046885.1,,,,,
1007,YP_003046886.1,,,,,
1008,YP_003046889.1,,,,,
1009,YP_003046896.1,,,,,
1010,YP_003046897.1,,,,,
1011,YP_003046914.1,,,,,
1012,YP_003046935.1,,,,,
1013,YP_003046936.1,,,,,
1014,YP_003046938.1,,,,,
1015,YP_003046941.1,,,,,
1016,YP_003046942.1,,,,,
1017,YP_003046945.1,,,,,
1018,YP_003046947.1,,,,,
1019,YP_003046954.1,,,,,
1020,YP_003046956.1,,,,,
1021,YP_003046958.1,,,,,
1022,YP_003046960.1,,,,,
1023,YP_003046962.1,,,,,
1024,YP_003046963.1,,,,,
1025,YP_003046965.1,,,,,
1026,YP_003046966.1,,,,,
1027,YP_003046968.1,,,,,
1028,YP_003046979.1,,,,,
1029,YP_003046988.1,,,,,
1030,YP_003046996.1,,,,,
1031,YP_003047002.1,,,,,
1032,YP_003047007.1,,,,,
1033,YP_003047012.1,,,,,
1034,YP_003047022.1,,,,,
1035,YP_003047030.1,,,,,
1036,YP_003047038.1,,,,,
1037,YP_003047040.1,,,,,
1038,YP_003047041.1,,,,,
1039,YP_003047042.1,,,,,
1040,YP_003047043.1,,,,,
1041,YP_003047044.1,,,,,
1042,YP_003047057.1,,,,,
1043,YP_003047071.1,,,,,
1044,YP_003047072.1,,,,,
1045,YP_003047074.1,,,,,
1046,YP_003047075.1,,,,,
1047,YP_003047076.1,,,,,
1048,YP_003047084.1,,,,,
1049,YP_003047086.1,,,,,
1050,YP_003047091.1,,,,,
1051,YP_003047092.1,,,,,
1052,YP_003047094.1,,,,,
1053,YP_003047099.1,,,,,
1054,YP_003047104.1,,,,,
1055,YP_003047110.1,,,,,
1056,YP_003047111.1,,,,,
1057,YP_003047114.1,,,,,
1058,YP_003047116.1,,,,,
1059,YP_003047118.1,,,,,
1060,YP_003047119.1,,,,,
1061,YP_003047120.1,,,,,
1062,YP_003047124.1,,,,,
1063,YP_003047127.1,,,,,
1064,YP_003047128.1,,,,,
1065,YP_003047134.1,,,,,
1066,YP_003047135.1,,,,,
1067,YP_003047136.1,,,,,
1068,YP_003047137.1,,,,,
1069,YP_003047138.1,,,,,
1070,YP_003047139.1,,,,,
1071,YP_003047140.1,,,,,
1072,YP_003047144.1,,,,,
1073,YP_003047145.1,,,,,
1074,YP_003047152.1,,,,,
1075,YP_003047156.1,,,,,
1076,YP_003047157.1,,,,,
1077,YP_003047163.1,,,,,
1078,YP_003047166.1,,,,,
1079,YP_003047168.1,,,,,
1080,YP_003047173.1,,,,,
1081,YP_003047178.1,,,,,
1082,YP_003047190.1,,,,,
1083,YP_003047194.1,,,,,
1084,YP_003047203.1,,,,,
1085,YP_003047213.1,,,,,
1086,YP_003047220.1,,,,,
1087,YP_003047221.1,,,,,
1088,YP_003047222.1,,,,,
1089,YP_003047225.1,,,,,
1090,YP_003047226.1,,,,,
1091,YP_003047230.1,,,,,
1092,YP_003047232.1,,,,,
1093,YP_003047233.1,,,,,
1094,YP_003047234.1,,,,,
1095,YP_003047236.1,,,,,
1096,YP_003047238.1,,,,,
1097,YP_003047241.1,,,,,
1098,YP_003047251.1,,,,,
1099,YP_003047252.1,,,,,
1100,YP_003047258.1,,,,,
1101,YP_003047268.1,,,,,
1102,YP_003047269.1,,,,,
1103,YP_003047277.1,,,,,
1104,YP_003047283.1,,,,,
1105,YP_003047300.1,,,,,
1106,YP_003047303.1,,,,,
1107,YP_003047306.1,,,,,
1108,YP_003047307.1,,,,,
1109,YP_003047308.1,,,,,
1110,YP_003047309.1,,,,,
1111,YP_003047311.1,,,,,
1112,YP_003047313.1,,,,,
1113,YP_003047320.1,,,,,
1114,YP_003047323.1,,,,,
1115,YP_003047324.1,,,,,
1116,YP_003047327.1,,,,,
1117,YP_003047330.1,,,,,
1118,YP_003047331.1,,,,,
1119,YP_003047332.1,,,,,
1120,YP_003047338.1,,,,,
1121,YP_003047339.1,,,,,
1122,YP_003047341.1,,,,,
1123,YP_003047342.1,,,,,
1124,YP_003047344.1,,,,,
1125,YP_003047345.1,,,,,
1126,YP_003047347.1,,,,,
1127,YP_003047349.1,,,,,
1128,YP_003047350.1,,,,,
1129,YP_003047351.1,,,,,
1130,YP_003047357.1,,,,,
1131,YP_003047358.1,,,,,
1132,YP_003047360.1,,,,,
1133,YP_003047371.1,,,,,
1134,YP_003047372.1,,,,,
1135,YP_003047374.1,,,,,
1136,YP_003047380.1,,,,,
1137,YP_003047382.1,,,,,
1138,YP_003047384.1,,,,,
1139,YP_003047386.1,,,,,
1140,YP_003047387.1,,,,,
1141,YP_003047388.1,,,,,
1142,YP_003047400.1,,,,,
1143,YP_003047405.1,,,,,
1144,YP_003047412.1,,,,,
1145,YP_003047421.1,,,,,
1146,YP_003047437.1,,,,,
