,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
805,YP_003044036.1,0.290409050392535,-0.618607161904502,0.761160901208008,-0.812715367963246,0.416381268063563,0.619052870100229,,ECB_00818,,-1,protein,Exp,carbonSource,glucoseglycerol
806,YP_003044037.1,0.276828591280415,-0.647526072816448,0.760281048371318,-0.85169303404785,0.394384487900843,0.600259065686834,,ECB_00819,,-1,protein,Exp,carbonSource,glucoseglycerol
807,YP_003044038.1,0.0937090586928951,-0.0445397820369478,0.641635247372236,-0.0694160462963292,0.944658456631053,NA,,ECB_00820,,-1,protein,Exp,carbonSource,glucoseglycerol
808,YP_003044039.1,0.164668072026008,-0.077459962500416,0.718377479364748,-0.10782626784029,0.91413350564211,NA,,ECB_00821,,-1,protein,Exp,carbonSource,glucoseglycerol
809,YP_003044040.1,0.244991017336625,1.32232814357282,0.771749150867993,1.71341703724013,0.0866358441360175,0.195547756604437,,ECB_00822,,1,protein,Exp,carbonSource,glucoseglycerol
810,YP_003044041.1,0.0313752387392013,-0.194127556202361,0.590023274171149,-0.329016777304365,0.742143006937104,NA,,ECB_00823,,-1,protein,Exp,carbonSource,glucoseglycerol
811,YP_003044042.1,0.369405477768262,-0.00474224091845388,0.772140237668259,-0.00614168344959549,0.995099676405175,0.997863985299127,,ECB_00824,,-1,protein,Exp,carbonSource,glucoseglycerol
812,YP_003044043.1,1.6406406564052,0.160017216582556,0.683689057330853,0.23404969681286,0.814946397442918,0.912887760140227,,ECB_00825,,1,protein,Exp,carbonSource,glucoseglycerol
813,YP_003044044.1,0.120332828343781,-0.720303415727989,0.6990796757666,-1.03035954369309,0.302841257121578,NA,,ECB_00826,,-1,protein,Exp,carbonSource,glucoseglycerol
814,YP_003044045.1,0.524999710108321,0.357615497512266,0.745982748339044,0.479388428631236,0.631662323870308,0.798396059759751,,ECB_00827,,1,protein,Exp,carbonSource,glucoseglycerol
815,YP_003044046.1,1.10014283452159,-0.888144537661631,0.677161086496764,-1.31157054853281,0.189665075599419,0.354041474452249,,ECB_00828,,-1,protein,Exp,carbonSource,glucoseglycerol
816,YP_003044047.1,0.177219772353536,0.446384934702973,0.746238910175817,0.598179656161057,0.549720064290741,NA,,ECB_00829,,1,protein,Exp,carbonSource,glucoseglycerol
817,YP_003044048.1,1.35298268013395,-1.61284043532198,0.658057665085777,-2.45091049142593,0.0142495382538077,0.0456434913691987,,ECB_00830,,-1,protein,Exp,carbonSource,glucoseglycerol
818,YP_003044049.1,1.09010279990151,-0.548726808733014,0.651840141048139,-0.841811932371452,0.399893231765106,0.606091095087758,,ECB_00831,,-1,protein,Exp,carbonSource,glucoseglycerol
